predict_date,predict_power_consumption
20161001,3233614
20161002,3030543
20161003,3233760
20161004,3402674
20161005,3589800
20161006,3629182
20161007,3634596
20161008,3809141
20161009,3648349
20161010,3748221
20161011,3738386
20161012,3756042
20161013,3804788
20161014,3802554
20161015,3769624
20161016,3671889
20161017,3862134
20161018,3853358
20161019,3880775
20161020,3909749
20161021,3888757
20161022,3876075
20161023,3646134
20161024,3899202
20161025,4003280
20161026,3978688
20161027,4039230
20161028,3978347
20161029,3819880
20161030,3571940
20161031,3736237
